name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7,investor_8
"Superposition","","https://icodrops.com/media/cache/fc/60/fc60177c3b0393b46f0ee8516490da23.webp","https://icodrops.com/superposition/","Incentivized Testnet","—","—","Blockchain","Active","","Arbitrum","","","","","","",""
"Zero Network","","https://icodrops.com/media/cache/18/71/187147a8be73288341714f67422d9526.webp","https://icodrops.com/zero-network/","Testnet Airdrop","—","—","Blockchain","Active","","","","","","","","",""
"MegaETH","MEGA","https://icodrops.com/media/cache/94/82/94827b9531e41d0f423ff3cf5f5f9e2d.webp","https://icodrops.com/megaeth/","Possible Retrodrop","$107.68 M","$1.34 B","Layer-2","Active","","Cobie","Vitalik Buterin","Dragonfly Capital","More Details","","","",""
"Nexis","","https://icodrops.com/media/cache/43/04/4304721bdb82750e704bc1204e54cdcb.webp","https://icodrops.com/nexis/","Incentivized Testnet","$1 M","—","Blockchain","Active","","Castrum Capital","","","","","","",""
"Lingo","LINGO","https://icodrops.com/media/cache/52/16/5216c479fd811c3744c50dbe04527752.webp","https://icodrops.com/lingo/","Airdrop","—","$8.64 M","RWA (Real World Ass…","Active","","Base","Solana","","","","","",""
"TapSwap","","https://icodrops.com/media/cache/72/35/723583183f8df5cfbce4249a715f8779.webp","https://icodrops.com/tapswap/","Tap-to-Earn","—","—","Gaming","Active","","The Open Network","","","","","","",""
"Haven1","H1","https://icodrops.com/media/cache/51/c2/51c2805bb656945b892a63abeaee76e0.webp","https://icodrops.com/haven1/","Incentivized Testnet","$4.6 M","$148.36 K","Blockchain","Active","","Animoca Brands","Kronos Research","Blockdaemon","More Details","","","",""
"BetFury","BFG","https://icodrops.com/media/cache/b6/e8/b6e81487d4fff69541993a1691892b36.webp","https://icodrops.com/betfury/","Airdrop","—","—","Gambling","Active","","Binance coin","","","","","","",""
"Bluwhale","BLUAI","https://icodrops.com/media/cache/5e/ec/5eecdb125892202b38d015b5d2fee230.webp","https://icodrops.com/bluwhale/","Point System Activity","$109.6 M","$48.7 M","Blockchain Service","Active","","DWF Labs","Momentum 6","MV Global","More Details","","","",""
"Catizen","CATI","https://icodrops.com/media/cache/09/70/09706632ff18bf6df801d366fc5a59b0.webp","https://icodrops.com/catizen/","Airdrop","—","$39.9 M","Gaming","Active","","YZi Labs (prev Binance Labs)","Mirana Ventures","NGC Ventures","More Details","The Open Network","Mantle","",""
"Reya (former Voltz)","REYA","https://icodrops.com/media/cache/57/6b/576b0ba0f2c68f626b0e1fc6612956d2.webp","https://icodrops.com/reya/","Incentive Activities","$16 M","$150 M","DeFi","Active","","Brevan Howard","Framework Ventures","Amber Group","More Details","","","",""
"Plume Network","PLUME","https://icodrops.com/media/cache/73/0c/730c6837af97cf4a3b23fafbacceae1a.webp","https://icodrops.com/plume-network/","Incentivized Testnet","$30 M","$119.8 M","Blockchain","Active","","YZi Labs (prev Binance Labs)","Brevan Howard","a_capital","More Details","Ethereum","","",""
"Sanctum","CLOUD","https://icodrops.com/media/cache/2c/67/2c6760da509f18c13429c5d93dd31847.webp","https://icodrops.com/sanctum/","Point System Activity","$13.6 M","$38.13 M","DeFi","Active","","Sequoia Capital","CMS Holdings","DeFiance Capital","More Details","Solana","","",""
"Blum","BLUM","https://icodrops.com/media/cache/8d/60/8d60da09a997e9b55bca7a571a461077.webp","https://icodrops.com/blum/","Tap-to-Earn","$5 M","$3.88 M","DeFi","Active","","YZi Labs (prev Binance Labs)","BitScale Capital","gumi Cryptos Capital","More Details","","","",""
"Nesa","NES","https://icodrops.com/media/cache/40/1e/401e9af4704b1d53a6c02dfec9da1bba.webp","https://icodrops.com/nesa/","Incentivized Activities","—","—","Blockchain","Active","","","","","","","","",""
"Element Market","","https://icodrops.com/media/cache/53/5f/535fc7bd541252016e8e0e07d336aeeb.webp","https://icodrops.com/element-market/","Stake/Farm","$4.6 M","—","Marketplace","Active","","","","","","","","",""
"ZKFair","ZKF","https://icodrops.com/media/cache/50/b4/50b4fe12ef9818e130d950a197998652.webp","https://icodrops.com/zkfair/","Stake/Farm","—","$200.9 K","Layer-2","Active","","Own","","","","","","",""
"Your Open Metaverse","YOM","https://icodrops.com/media/cache/5e/62/5e623123f54d95d71c17adc67112cd4a.webp","https://icodrops.com/your-open-metaverse/","Airdrops & Ecosystem Rewards","$3.08 M","$52.19 K","DePIN","Active","","Solana","","","","","","",""
"Analog","ANALOG","https://icodrops.com/media/cache/1a/9b/1a9b07a8d923fd75257acf4301f2774c.webp","https://icodrops.com/analog/","Incentivized Activities","$36 M","$1.17 M","Infrastructure","Active","+1","Balaji Srinivasan","Tribe Capital","Wintermute","More Details","Ethereum","Arbitrum","Astar","More Details"
"Router Protocol","ROUTE","https://icodrops.com/media/cache/a4/b8/a4b89af974a6e8c55e05aa3eeff72a28.webp","https://icodrops.com/router-protocol/","Testnet Airdrop","$4.96 M","$941.2 K","Infrastructure","Active","+4","Coinbase Ventures","Wintermute","Woodstock Fund","More Details","FANTOM","Optimism","Aurora","More Details"
"Ethena","USDe","https://icodrops.com/media/cache/ae/1b/ae1b9bcf67fc5eb345cc682b0ab6ace6.webp","https://icodrops.com/ethena/","Stake/Farm","$182.5 M","$1.77 B","DeFi","Active","","YZi Labs (prev Binance Labs)","Brevan Howard","Cobie","More Details","","","",""
"Azuki","","https://icodrops.com/media/cache/f3/28/f3282c1e6fcf4a54865eb9b5fe2c92a6.webp","https://icodrops.com/azuki/","Airdrop for NFT Holders","—","—","Yield Farming","Active","","Ethereum","Polygon (prev. Matic Network)","","","","","",""
"Overworld","","https://icodrops.com/media/cache/c9/4e/c94e10c7b30339a4a93d1f5a000aff22.webp","https://icodrops.com/overworld/","Airdrop for NFT Holders","$12.5 M","—","Gaming","Active","","DWF Labs","Hashed","HashKey Capital","More Details","","","",""
"MyShell","SHELL","https://icodrops.com/media/cache/12/a8/12a864db6aac76b39f2b3259a5f22e73.webp","https://icodrops.com/myshell/","Airdrop","$16.6 M","$26.99 M","Blockchain Service","Active","","Balaji Srinivasan","YZi Labs (prev Binance Labs)","Bankless","More Details","","","",""
"Holograph","HLG","https://icodrops.com/media/cache/82/59/8259c40d02a4574de1020f3e51231711.webp","https://icodrops.com/holograph/","Airdrop","$11 M","$22.75 K","NFT","Active","","gmoney","Mechanism Capital","Nick Chong","More Details","Ethereum","","",""
"Blackwing","","https://icodrops.com/media/cache/c1/dd/c1ddf4cac670586d19bf848abfb624c6.webp","https://icodrops.com/blackwing/","Airdrop","$4.5 M","—","DeFi","Active","","Fiskantes","gumi Cryptos Capital","Hashed","More Details","","","",""
