name,ticker,link,price_24h,change_24h,volume_24h,fdv,market_cap,funding_price,roi,total_raised,date,investor_1,investor_2,investor_3,investor_4
"Moviebloc","MBL","https://icodrops.com/moviebloc/","$0.0006389","-1.67%","$2.99 M","$21.14 M","$12.52 M","0.0012","0.53x","$4.08 M","Jun 21, 2019","DWF Labs","FBG Capital","Chain Partners","More Details"
"Raven Protocol","RAVEN","https://icodrops.com/raven-protocol/","$0.00005861","-0.76%","$30.52","$586.1 K","$586.1 K","0.0017","0.03x","$5.6 M","Jun 19, 2019","CoinIX","Mapleblock Capital","NGC Ventures","More Details"
"STP Network","STP","https://icodrops.com/stp/","$0.06302","0.39%","$1.15 M","$114.06 M","$122.41 M","0.01","6.28x","$750 K","Jun 12, 2019","","","",""
"Beldex","BDX","https://icodrops.com/beldex/","$0.07995","0.77%","$7.59 M","$899.81 M","$629.24 M","—","0.83x","$28 M","Jun 7, 2019","DWF Labs","NewTribe Capital","Digital Consensus","More Details"
"COTI","COTI","https://icodrops.com/coti/","$0.01318","0.00%","$21.54 M","$23.27 M","$39.75 M","0.065","0.2x","$19.02 M","Jun 4, 2019","Morningstar Ventures","Base Ventures","Wave Financial Group","More Details"
"Chromia","CHR","https://icodrops.com/chromia/","$0.0147","-3.23%","$13.77 M","$14.58 M","$14.38 M","0.05","0.29x","$12.41 M","May 28, 2019","Arrington Capital","BitScale Capital","JRR Group","More Details"
"Harmony","ONE","https://icodrops.com/harmony/","$0.0007514","-0.66%","$787.78 K","$11.29 M","$11.29 M","0.0032","0.24x","$23.35 M","May 27, 2019","YZi Labs (prev Binance Labs)","HashKey Capital","Lemniscap","More Details"
"Reserve","RSR","https://icodrops.com/reserve/","$0.00134","-3.98%","$16.44 M","$127.6 M","$83.82 M","0.0011","1.22x","$9.96 M","May 24, 2019","Arrington Capital","Strobe (Prev. BlockTower Capital)","Coinbase Ventures","More Details"
"Bitfinex","LEO","https://icodrops.com/bitfinex/","$9.64","0.63%","$199.62 K","$9.27 B","$8.87 B","1","9.64x","—","May 21, 2019","","","",""
"Leo Token","LEO","https://icodrops.com/leo-token/","$9.64","0.63%","$199.62 K","$9.5 B","$8.87 B","1","9.64x","$1 B","May 21, 2019","SNZ Holding","","",""
"Trias Token","TRIAS","https://icodrops.com/trias-token/","$0.1874","-0.60%","$173.39","$3.62 M","$937 K","4","0.05x","$5.6 M","May 14, 2019","","","",""
"IDEX","IDEX","https://icodrops.com/idex/","$0.0008377","-2.87%","$33.01 K","$1.03 M","$837.7 K","—","0.03x","$2.5 M","May 9, 2019","G1 Ventures","Borderless Capital","Collider Ventures","More Details"
"Ocean Protocol","OCEAN","https://icodrops.com/oceanprotocol/","$0.1381","-3.96%","$134.84 K","$194.44 M","$33.28 M","0.12","1.15x","$39.19 M","May 3, 2019","BlockVc","Digital Currency Group (DCG)","Fabric Ventures","More Details"
"Polygon (ex-Matic Network)","MATIC","https://icodrops.com/matic-network/","$0.08983","-13.42%","$1.07 M","$898.3 M","—","0.0026","35.53x","$455.56 M","Apr 26, 2019","Andreessen Horowitz (a16z)","Coinbase Ventures","Peak XV Partners(ex-Sequoia India)","More Details"
"ARPA","ARPA","https://icodrops.com/arpa/","$0.009555","-2.12%","$4.33 M","$19.53 M","$14.52 M","0.018","0.53x","$14.02 M","Apr 26, 2019","YZi Labs (prev Binance Labs)","Arrington Capital","DeFiance Capital","More Details"
"Nash","NEX","https://icodrops.com/neonexchange/","$0.144","3.06%","$7.04 K","$7.2 M","$6.38 M","0.19","0.78x","$22.41 M","Apr 25, 2019","KR1 (Kryptonite1)","NGC Ventures","Badwater Capital","More Details"
"OKB","OKB","https://icodrops.com/okb/","$111.99","-1.79%","$18.41 M","$2.13 B","$2.35 B","—","69.28x","$10 M","Apr 24, 2019","Ceyuan Ventures","Giant Network","Mandra Capital","More Details"
"IRIS Network","IRIS","https://icodrops.com/iris-network/","$0.0001656","3.63%","$173.41","$355.12 K","$270.46 K","0.08","0.01x","$40 M","Apr 18, 2019","8 Decimal Capital","Amino Capital","Consensus Capital Holdings","More Details"
"MultiVAC","MTV","https://icodrops.com/multivac/","$0.0001021","-1.33%","$35.19 K","$1.44 M","$366.27 K","0.006","0.02x","$16.84 M","Apr 11, 2019","Arrington Capital","Hashed","IDG Capital","More Details"
"Verasity","VRA","https://icodrops.com/verasity/","$0.00001728","-4.46%","$67.21 K","$4.9 M","$4.9 M","0.0075","0.01x","$49.07 M","Apr 3, 2019","Alphabit Fund","Black Green Capital","Cryptecon","More Details"
"Orbs","ORBS","https://icodrops.com/orbs/","$0.006066","0.51%","$775.11 K","$60.66 M","$30.3 M","0.059","0.1x","$128 M","Apr 3, 2019","DWF Labs","","",""
"TOP Network","TOP","https://icodrops.com/top-network/","$0.0000695","-0.32%","$39.91 K","$1.39 M","$1 M","0.0026","0.03x","$21.1 M","Mar 28, 2019","Fenbushi Capital","DHVC","Elysium Venture Capital","More Details"
"Celer Network","CELR","https://icodrops.com/celer-network/","$0.002329","-4.19%","$17.7 M","$23.9 M","$18.18 M","0.0067","0.35x","$34.73 M","Mar 27, 2019","YZi Labs (prev Binance Labs)","Pantera Capital","Arrington Capital","More Details"
"Dos Network","DOS","https://icodrops.com/dos-network/","$0.00008763","","$1.99","$69.43 K","$11.57 K","0.012","36.18x","$1.51 M","Mar 22, 2019","DUO Network","Enterprise Ethereum Alliance","QuarkChain","More Details"
"Cosmos","ATOM","https://icodrops.com/cosmos/","$1.47","-1.34%","$32.89 M","$791.45 M","$775.9 M","0.1","14.67x","$37.63 M","Mar 14, 2019","1confirmation","Paradigm","IOSG Ventures","More Details"
"Ankr Network","ANKR","https://icodrops.com/ankr-network/","$0.003929","-2.31%","$17.39 M","$43.39 M","$39.29 M","0.0066","0.6x","$17.82 M","Mar 6, 2019","YZi Labs (prev Binance Labs)","Pantera Capital","BlockVc","More Details"
"Fetch.ai","FET","https://icodrops.com/fetch-ai/","$0.1506","-2.63%","$44.46 M","$408.79 M","$340.58 M","0.0867","1.74x","$74.33 M","Feb 25, 2019","DWF Labs","Ascensive Assets","Outlier Ventures","More Details"
"Hxro Network","HXRO","https://icodrops.com/hxro-network/","$0.003091","19.71%","$578.32","$3.13 M","$2.95 M","—","0.04x","$49 M","Feb 15, 2019","Blockchain Capital","Jump Crypto","Coinbase Ventures","More Details"
"Temco","TEMCO","https://icodrops.com/temco/","$0.0002593","-3.40%","$324.08 K","$1.56 M","$1.03 M","0.0063","0.04x","$19 M","Feb 4, 2019","256 Ventures","CoinBene","Foundation X","More Details"
"Beam","BEAM","https://icodrops.com/beam-3/","$0.007408","30.14%","$79.03 K","$1.9 M","$1.49 M","3750","0.01x","$5.19 M","Jan 17, 2019","YZi Labs (prev Binance Labs)","DWF Labs","BitScale Capital","More Details"
"LTO Network","LTO","https://icodrops.com/ltonetwork/","$0.001772","1.02%","$1.33 K","$518.35 K","$515.73 K","0.03","0.06x","$4.03 M","Jan 16, 2019","ZBS Capital","","",""
"MVL Chain","MVL","https://icodrops.com/mvl-chain/","$0.0008908","2.27%","$108.58 K","$26.72 M","$24.77 M","0.0024","0.37x","—","Jan 3, 2019","","","",""
"Republic Protocol","REN","https://icodrops.com/republic-protocol/","$0.00342","-0.03%","$175.83 K","$3.42 M","$3.4 M","0.0561","0.06x","$33.77 M","Dec 31, 2018","Polychain Capital","BlockVc","FBG Capital","More Details"
