name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7,investor_8
"Liqwid Finance","LQ","https://icodrops.com/media/cache/9b/53/9b531a3c1d44601db966a26689068221.webp","https://icodrops.com/liqwid-finance/","Private Stage","$2.7 M","$4.9 M","Protocol","Upcoming","","Altonomy","Animoca Brands","Double Peak","More Details","","","",""
"Midnight","","https://icodrops.com/media/cache/93/35/9335af0b6c488eb04de13077c1de1a8a.webp","https://icodrops.com/midnight/","Private Stage","$7.5 M","$142.71 M","Gaming","Upcoming","","","","","","","","",""
"Vinci Protocol","","https://icodrops.com/media/cache/e2/38/e238179a8d3000201b5d2366ff072ac1.webp","https://icodrops.com/vinci-protocol/","Private Stage","$2.1 M","$2.5 K","NFT","Upcoming","","Signum Capital","TGE Capital","UOB Venture Management","","","","",""
"Revv","","https://icodrops.com/media/cache/93/90/9390789ee1ed3fab3822c0dfa003cbb6.webp","https://icodrops.com/revv/","Private Stage","$5.5 M","$1.3 M","NFT","Upcoming","","Tribe Capital","C2Ventures (Csquared)","Digital Asset Capital Management (DACM)","More Details","","","",""
"TonUP","","https://icodrops.com/media/cache/fc/bb/fcbb29259d698a6e7bf517c6755711cd.webp","https://icodrops.com/tonup/","Private Stage","—","—","Launchpad","Upcoming","","Waterdrip Capital","MEXC Global (Privcode Capital)","NewTribe Capital","More Details","","","",""
"Upland","","https://icodrops.com/media/cache/f2/f8/f2f846262cf9d7602ee7ca146ac8eb58.webp","https://icodrops.com/upland/","Private Stage","$27 M","$24.05 M","Gaming","Upcoming","","Animoca Brands","Alumni Ventures","Block.One","More Details","","","",""
"SynFutures","","https://icodrops.com/media/cache/cd/b1/cdb17c57882b07fc0755ab5ba54dea6a.webp","https://icodrops.com/synfutures/","Private Stage","$37.4 M","$55.89 M","Perpetual","Upcoming","","Framework Ventures","Pantera Capital","Polychain Capital","More Details","","","",""
"Elixir","ELX","https://icodrops.com/media/cache/f3/22/f322f02576a97307006784432eafb944.webp","https://icodrops.com/elixir-2/","Private Stage","$17.6 M","$1.24 M","DeFi","Upcoming","","Amber Group","Hack VC","Manifold Trading","More Details","","","",""
"Thala Labs","","https://icodrops.com/media/cache/ff/42/ff4281d15ba444261b80f2bd1c5f29b7.webp","https://icodrops.com/thala-labs/","Private Stage","$6 M","$1.17 M","DeFi","Upcoming","","ParaFi Capital","LedgerPrime","Shima Capital","More Details","Aptos","","",""
"Mintify","","https://icodrops.com/media/cache/50/d6/50d61f45edeb07a5d14147c281f0aaef.webp","https://icodrops.com/mintify/","Private Stage","$5 M","$142.7 K","NFT","Upcoming","","Amber Group","Cumberland","Alchemy","More Details","Ethereum","","",""
"Arch","","https://icodrops.com/media/cache/6a/f0/6af0ba38da09f7a7cc57e5533699b668.webp","https://icodrops.com/arch-2/","Private Stage","$5 M","—","DeFi","Upcoming","","Digital Currency Group (DCG)","GBV Capital","Ripio","More Details","","","",""
"Blowfish","","https://icodrops.com/media/cache/8f/d4/8fd45f88159fed48de5b677297b5a929.webp","https://icodrops.com/blowfish-2/","Private Stage","$11.8 M","—","Blockchain Service","Upcoming","","Paradigm","Dragonfly Capital","Hypersphere Ventures","More Details","Ethereum","","",""
"ZTX","ZTX","https://icodrops.com/media/cache/64/ff/64ff7987240919610bc40c5c88cf22da.webp","https://icodrops.com/ztx/","Private Stage","$13 M","$3.29 M","Social","Upcoming","","Jump Crypto","Everest Ventures","Collab+Currency","More Details","Ethereum","","",""
"Sender","","https://icodrops.com/media/cache/35/97/3597981ee695e326c9bedcc53a32e9c6.webp","https://icodrops.com/sender/","Private Stage","$4.5 M","$1.32 M","Artificial Intellig…","Upcoming","","YZi Labs (prev Binance Labs)","Pantera Capital","Amber Group","More Details","Near Protocol","","",""
"Revolving Games","","https://icodrops.com/media/cache/2c/a5/2ca5e31bcae7c8be6f11c5e4ffd993a2.webp","https://icodrops.com/revolving-games/","Private Stage","$25.2 M","—","Gaming","Upcoming","","Pantera Capital","Dapper Labs","Animoca Brands","More Details","","","",""
"Exchange Art","","https://icodrops.com/media/cache/bd/ab/bdabd754a7c05a8b6d341daecdda722f.webp","https://icodrops.com/exchange-art/","Private Stage","$3.2 M","$307.8 K","NFT","Upcoming","","Big Brain Holdings","Bonk","Cozomo de Medici","More Details","Solana","","",""
"Mellow Protocol","","https://icodrops.com/media/cache/59/50/59505992fdaa44d76a9daf412b01a474.webp","https://icodrops.com/mellow-protocol/","Private Stage","$2.75 M","$70 M","Liquid Staking Prot…","Upcoming","","Arrington Capital","Lemniscap","ParaFi Capital","More Details","Symbiotic","Ethereum","",""
"Phaver","","https://icodrops.com/media/cache/26/65/26659507bf8a46abbdf02f22419ff2a4.webp","https://icodrops.com/phaver/","Private Stage","$7 M","$29.7 K","Social","Upcoming","","P2 Ventures","Alphanonce","dao5","More Details","","","",""
"CreatorDAO","","https://icodrops.com/media/cache/63/94/63940263c64e594386ce16bf420e650f.webp","https://icodrops.com/creatordao/","Private Stage","$20 M","$1.01 M","DAO","Upcoming","","Andreessen Horowitz (a16z)","6MV (6th Man Ventures)","Alliance","More Details","","","",""
"Fair.xyz","","https://icodrops.com/media/cache/17/01/1701c2be5ea0c5e0b2b85bf6b3f6e008.webp","https://icodrops.com/fair-xyz/","Private Stage","$4.5 M","—","Platform","Upcoming","","Eden Block","NFX","Firstminute Capital","More Details","Ethereum","","",""
"Big Time","","https://icodrops.com/media/cache/d2/62/d262c1b61ff60954ef552d63f7c7e0f2.webp","https://icodrops.com/big-time/","Private Stage","$10.3 M","$68.85 M","Gaming","Upcoming","","Digital Currency Group (DCG)","OKX Ventures","Circle Ventures","More Details","","","",""
"Quasar","QSR","https://icodrops.com/media/cache/81/31/813130c5bd3a57fdf1633f034c5c887f.webp","https://icodrops.com/quasar/","Private Stage","$11.5 M","$15.21 M","DeFi","Upcoming","","Blockchain Capital","Polychain Capital","Shima Capital","More Details","","","",""
"Change","","https://icodrops.com/media/cache/ff/39/ff390c875b403ea9c5d3056a7e7b1a14.webp","https://icodrops.com/change/","Private Stage","$5.75 M","$274.85 K","Platform","Upcoming","","Freestyle Capital","Human Ventures","New Enterprise Associates","","","","",""
"Contango","","https://icodrops.com/media/cache/8d/f7/8df761a4124097bb571f32963ef3a20f.webp","https://icodrops.com/contango/","Private Stage","$4 M","$2.82 M","Perpetual","Upcoming","","Amber Group","CMS Holdings","Coinbase Ventures","More Details","","","",""
"Morpho","MORPHO","https://icodrops.com/media/cache/a0/13/a0136527c1d8e105cbdc632b8bc514b9.webp","https://icodrops.com/morpho/","Private Stage","$69.35 M","$1.84 B","Lending Platform","Upcoming","","Andreessen Horowitz (a16z)","Brevan Howard","Pantera Capital","More Details","","","",""
